time,pPV
1642343400,16.96
1642344300,17.28
1642345200,17.56
1642346100,17.8
1642347000,18.0
1642347900,18.2
1642348800,18.04
1642349700,18.48
1642350600,18.32
1642351500,18.36
1642352400,17.6
1642353300,17.68
1642354200,17.64
1642355100,17.72
1642356000,17.08
1642356900,16.84
1642357800,17.16
1642358700,16.96
1642359600,17.28
1642360500,17.0
1642361400,17.12
1642362300,16.84
1642363200,16.64
1642364100,15.8
1642365000,16.12
1642365900,15.88
1642366800,15.8
1642367700,16.68
1642368600,15.8
1642369500,16.16
1642370400,9.4
1642371300,9.56
1642372200,9.28
1642373100,9.6
1642374000,9.32
1642374900,9.6
1642375800,9.28
1642376700,9.64
1642377600,9.28
1642378500,9.56
1642379400,9.56
1642380300,9.48
1642381200,9.56
1642382100,9.24
1642383000,9.44
1642383900,9.28
1642384800,9.6
1642385700,9.36
1642386600,9.56
1642387500,9.28
1642388400,9.6
1642389300,9.28
1642390200,9.6
